,benchmark,target,total_iterations,threads,pings,runtime_version,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,pieces,workers,left,right,messages,actors,columns,simulations,channels
0,TrapezoidalBenchmark,LF-Cpp,12,1,,master,0,100.413,0,0,,,,,,,,,
2,BigReactorLFCppBenchmark,LF-Cpp,12,1,,master,0,0,0,0,,,,,,,,,
3,BigReactorLFCppBenchmark,LF-Cpp,12,1,,master,0,0,0,0,,,,,,,,,
4,BigReactorLFCppBenchmark,LF-Cpp,12,1,,master,0,0,0,0,,,,,,,,,
5,BigReactorLFCppBenchmark,LF-Cpp,12,1,,master,0,0,0,0,,,,,,,,,
6,BigReactorLFCppBenchmark,LF-Cpp,12,1,,master,0,0,0,0,,,,,,,,,
7,BigReactorLFCppBenchmark,LF-Cpp,12,1,,master,4191.387,4699.096,4582.961,4582.961,,,,,,,,,
8,BigReactorLFCppBenchmark,LF-Cpp,12,1,,master,4029.225,4267.832,4223.219,4223.219,,,,,,,,,
